"time","sex","hindfoot_length"
"1977-10-16","F",36
"1977-10-16","M",37
"1977-11-12","F",38
"1977-11-12","M",36
"1977-12-10","F",36
"1977-12-10","M",NA
"1977-7-16","F",34
"1977-7-16","M",37
"1978-1-9","F",38
"1978-1-9","M",36
"1978-10-6","F",37
"1978-11-4","F",35
"1978-12-2","F",34
"1978-12-2","M",37
"1978-2-20","F",35
"1978-2-20","M",36
"1978-3-13","F",NA
"1978-4-10","F",38
"1978-5-19","F",37
"1978-5-19","M",37
"1978-6-9","F",37
"1978-7-8","F",38
"1979-11-17","F",35
"1979-2-25","M",38
"1979-4-28","F",36
"1979-5-30","F",35
"1979-5-30","M",32
"1979-8-23","M",35
"1980-1-16","F",36
"1980-1-16","M",35
"1980-11-9","F",35
"1980-2-25","F",35
"1980-2-25","M",37
"1980-3-9","F",NA
"1980-3-9","M",NA
"1980-4-17","M",33
"1980-5-17","F",34
"1980-5-24","M",36
"1980-8-14","F",36
"1980-9-8","F",NA
"1981-1-12","F",35
"1981-1-12","M",36
"1981-3-9","F",36
"1981-3-9","M",38
"1981-4-5","F",NA
"1981-4-5","M",NA
"1981-7-7","M",37
"1982-1-1","M",35
"1982-1-24","M",36
"1982-10-23","F",34
"1982-10-23","M",36
"1982-11-22","F",36
"1982-11-22","M",37
"1982-2-24","M",36
"1982-3-30","M",35
"1982-4-29","F",33
"1982-4-29","M",36
"1982-5-22","M",35
"1982-6-28","F",34
"1982-6-28","M",36
"1982-7-25","F",NA
"1982-7-25","M",NA
"1982-8-16","F",35
"1982-8-16","M",37
"1982-9-18","F",35
"1982-9-18","M",37
"1983-1-13","F",36
"1983-1-13","M",35
"1983-10-16","F",37
"1983-10-16","M",34
"1983-11-13","F",35
"1983-11-13","M",35
"1983-12-9","F",34
"1983-12-9","M",35
"1983-2-27","F",34
"1983-2-27","M",37
"1983-3-15","F",34
"1983-3-15","M",38
"1983-4-17","F",36
"1983-4-17","M",36
"1983-5-15","F",35
"1983-5-15","M",37
"1983-6-18","F",34
"1983-7-17","F",34
"1983-8-16","F",34
"1983-8-16","M",34
"1983-9-11","F",35
"1983-9-11","M",36
"1984-10-21","F",36
"1984-10-21","M",35
"1984-12-31","F",36
"1984-12-31","M",36
"1984-2-5","M",35
"1984-3-13","M",36
"1984-4-10","F",36
"1984-4-10","M",36
"1984-5-13","F",35
"1984-5-13","M",37
"1984-5-28","M",36
"1984-7-4","F",35
"1984-7-4","M",35
"1984-8-1","M",34
"1984-8-26","F",35
"1984-8-26","M",34
"1984-9-30","F",33
"1984-9-30","M",34
"1985-1-20","F",35
"1985-1-20","M",34
"1985-10-13","M",38
"1985-11-17","F",37
"1985-11-17","M",36
"1985-12-8","F",36
"1985-12-8","M",35
"1985-2-17","F",36
"1985-3-17","F",33
"1985-3-17","M",35
"1985-4-21","F",37
"1985-4-21","M",38
"1985-7-24","F",34
"1985-7-24","M",35
"1985-9-22","M",37
"1986-10-5","F",37
"1986-10-5","M",37
"1986-11-16","F",36
"1986-11-16","M",37
"1986-12-15","F",36
"1986-12-15","M",34
"1986-3-9","M",36
"1986-4-13","F",37
"1986-4-13","M",38
"1986-5-11","F",35
"1986-5-11","M",37
"1986-6-5","F",35
"1986-6-5","M",37
"1986-7-4","F",36
"1986-7-4","M",35
"1986-8-10","F",NA
"1986-8-10","M",37
"1986-9-7","F",33
"1986-9-7","M",37
"1987-10-25","F",34
"1987-10-25","M",32
"1987-11-22","F",36
"1987-11-22","M",36
"1987-2-1","M",34
"1987-3-2","M",37
"1987-4-26","M",37
"1987-4-6","M",37
"1987-5-28","F",38
"1987-5-28","M",38
"1987-7-1","M",36
"1987-7-26","M",NA
"1987-8-26","F",37
"1987-8-26","M",36
"1987-9-27","F",36
"1987-9-27","M",38
"1988-1-24","M",35
"1988-10-8","F",37
"1988-10-8","M",36
"1988-11-5","F",37
"1988-11-5","M",36
"1988-12-13","F",37
"1988-12-13","M",34
"1988-2-21","M",36
"1988-3-20","M",36
"1988-4-19","F",37
"1988-4-19","M",38
"1988-5-14","M",36
"1988-6-11","M",37
"1988-7-14","M",37
"1988-8-9","M",37
"1988-9-11","F",37
"1988-9-11","M",37
"1989-1-10","F",37
"1989-1-10","M",35
"1989-10-8","M",37
"1989-11-4","M",38
"1989-12-4","M",37
"1989-2-4","F",37
"1989-2-4","M",39
"1989-3-12","M",37
"1989-5-9","F",37
"1989-5-9","M",38
"1989-6-3","M",38
"1989-7-29","M",37
"1989-7-3","M",37
"1989-9-3","F",NA
"1989-9-3","M",37
"1990-1-29","F",37
"1990-1-29","M",38
"1990-1-6","F",37
"1990-10-15","M",37
"1990-11-10","M",37
"1990-12-15","M",37
"1990-2-24","F",37
"1990-2-24","M",37
"1990-3-29","F",35
"1990-3-29","M",37
"1990-4-24","M",37
"1990-5-23","F",36
"1990-5-23","M",36
"1990-6-21","M",36
"1990-7-21","M",37
"1990-8-16","F",36
"1990-8-16","M",37
"1990-9-22","M",NA
"1991-1-11","M",37
"1991-10-10","M",34
"1991-11-13","M",36
"1991-12-7","M",36
"1991-2-16","M",37
"1991-3-13","M",37
"1991-4-21","M",36
"1991-5-13","M",37
"1991-6-13","M",30
"1991-7-12","M",35
"1992-1-8","M",37
"1992-2-6","M",36
"1992-3-7","M",35
"1992-4-4","M",37
"1992-5-2","F",36
"1992-5-30","F",37
"1992-5-30","M",36
"1992-7-30","F",35
"1992-7-30","M",36
"1992-9-26","M",36
"1993-10-15","F",35
"1993-10-15","M",36
"1993-11-13","F",36
"1993-11-13","M",35
"1993-3-17","F",36
"1993-3-17","M",36
"1993-6-18","M",36
"1993-8-19","F",34
"1993-9-16","F",37
"1993-9-16","M",33
"1994-10-12","F",36
"1994-11-1","F",35
"1994-12-4","F",36
"1994-12-4","M",38
"1994-2-1","F",36
"1994-2-1","M",35
"1994-4-10","F",NA
"1994-4-10","M",38
"1994-5-18","M",36
"1994-6-14","M",38
"1994-7-8","F",35
"1994-7-8","M",36
"1994-8-17","F",36
"1994-9-6","F",38
"1995-1-11","F",37
"1995-1-11","M",37
"1995-10-28","F",34
"1995-12-2","F",36
"1995-12-21","F",36
"1995-12-21","M",39
"1995-2-4","F",37
"1995-2-4","M",38
"1995-3-4","F",37
"1995-3-4","M",37
"1995-4-1","F",37
"1995-4-1","M",37
"1995-4-29","M",36
"1995-6-27","M",38
"1995-6-7","F",38
"1995-7-20","F",35
"1995-8-26","F",36
"1995-9-23","F",32
"1995-9-23","M",34
"1996-1-27","M",36
"1996-10-12","F",35
"1996-10-12","M",37
"1996-11-16","M",37
"1996-12-18","F",37
"1996-12-18","M",33
"1996-2-24","M",36
"1996-3-23","F",36
"1996-3-23","M",40
"1996-9-21","M",37
"1997-10-25","F",35
"1997-11-22","F",35
"1997-12-28","F",36
"1997-2-8","F",36
"1997-2-8","M",36
"1997-3-15","M",37
"1997-4-12","F",35
"1997-4-12","M",35
"1997-5-10","F",34
"1997-7-29","F",35
"1997-7-9","F",38
"1997-9-27","F",35
"1998-1-31","F",36
"1998-1-31","M",35
"1998-10-24","M",35
"1998-11-21","M",35
"1998-12-22","F",34
"1998-3-1","F",37
"1998-3-29","F",35
"1998-5-2","F",35
"1998-5-2","M",35
"1998-5-28","F",36
"1998-5-28","M",35
"1998-6-27","M",34
"1998-8-22","M",34
"1998-9-20","F",34
"1999-1-16","F",35
"1999-1-16","M",35
"1999-2-20","F",37
"1999-2-20","M",35
"1999-3-14","F",36
"1999-4-17","F",37
"1999-5-15","F",35
"1999-6-12","F",37
"1999-6-12","M",37
"2000-1-8","M",36
"2000-11-25","M",36
"2000-12-22","F",36
"2000-12-22","M",37
"2000-2-5","F",37
"2000-2-5","M",36
"2000-3-4","F",37
"2000-6-3","M",35
"2000-7-1","M",35
"2000-7-22","M",36
"2000-8-25","M",34
"2000-9-30","F",36
"2000-9-30","M",35
"2001-1-21","M",37
"2001-10-13","M",37
"2001-11-17","M",37
"2001-12-15","M",36
"2001-3-24","F",35
"2001-4-21","M",36
"2001-5-26","M",36
"2001-8-25","M",33
"2001-9-22","M",36
"2002-1-12","M",38
"2002-2-9","M",37
"2002-3-13","M",36
"2002-4-16","F",36
"2002-4-16","M",37
"2002-5-15","F",36
"2002-5-15","M",39
"2002-6-15","F",37
"2002-6-15","M",37
"2002-7-13","F",36
"2002-7-13","M",37
